temp;heat_load[kW];electrical_load[kW];PV[W/Wp]
7,1;3,278302352;0,382568101;0
5,3;3,079617361;0,334994866;0
4;3,476987343;0,282466085;0
3,8;3,576329839;0,282466085;0
3,5;2,980274866;0,271563885;0
3,3;3,576329839;0,284448303;0
2,8;3,476987343;0,278501649;0
3,4;3,377644848;0,312199357;0
3,3;3,874357325;0,60754986;0
3,3;10,31718822;0,612505406;0,01
3,2;4,768439785;0,747296239;0,05
3,4;8,453878696;0,721527404;0,1
3,3;5,282134498;0,918758109;0,18
2,4;5,124629637;1,841480654;0,18
1,5;4,470412299;0,655123096;0,13
2,3;4,271727307;1,970324833;0,09
2,4;4,271727307;0,272554995;0,03
1;4,073042316;0,224981759;0
0,7;4,371069803;0,220026214;0
0,8;4,984107012;0,382568101;0
0,9;7,186624148;1,580818968;0
1;4,727259655;1,042646743;0
1,2;4,371069803;0,495554535;0
0,5;3,973699821;0,282466085;0
0,9;4,904895294;0,708490305;0
1,1;4,142225981;0,466569166;0
1,3;4,385348548;0,471155812;0
1,3;4,19468122;0,309549759;0
1,1;4,990652145;0,351805448;0
1,2;5,267076325;0,642813449;0
1,2;6,110496849;0,662526264;0
0,9;5,181319474;0,400697134;0
1,1;6,754107698;0,454175465;0
0,9;5,943988786;0,449100879;0,03
1,4;4,904895294;0,825693729;0,11
2;4,004013892;0,228356379;0,2
2,2;4,766683205;0,194395687;0,25
1,5;4,19468122;0,196347451;0,23
1,6;5,148017861;0,188930748;0,15
1,6;5,095562622;0,277443242;0,07
1,9;6,048899263;0,475254516;0,01
2;5,891533548;0,299595763;0
2,1;6,115502488;0,461006639;0
2,1;5,510198891;0,838965723;0
1,9;3,050677251;0,905813638;0
2,2;3,136434102;0,837209136;0
2,1;4,55686225;0,947678974;0
2;4,766683205;0,960072675;0
1,8;4,904895294;0,708490305;0
1,7;4,142225981;0,466569166;0
1,8;4,385348548;0,471155812;0
1,4;4,19468122;0,309549759;0
1,4;4,990652145;0,351805448;0
1,4;5,267076325;0,642813449;0
1,2;6,110496849;0,662526264;0
0,9;5,181319474;0,400697134;0
1,2;6,754107698;0,454175465;0
0,9;5,943988786;0,449100879;0,03
1;4,904895294;0,825693729;0,09
1,4;4,004013892;0,228356379;0,15
1,5;4,766683205;0,194395687;0,18
1,3;4,19468122;0,196347451;0,15
1,6;5,148017861;0,188930748;0,1
1,3;5,095562622;0,277443242;0,05
1;6,048899263;0,475254516;0,01
0;5,891533548;0,299595763;0
-0,5;6,115502488;0,461006639;0
-0,6;5,510198891;0,838965723;0
-1,1;3,050677251;0,905813638;0
-2,6;3,136434102;0,837209136;0
-2;4,55686225;0,947678974;0
-2,3;4,766683205;0,960072675;0
-3,1;4,629106444;0,216506393;0
-3,3;4,011892215;0,222605158;0
-4,2;4,731975392;0,218031081;0
-4;4,7319755;0,215744038;0
-4,6;4,526237388;0,225654557;0
-3,8;4,629106336;0,282830529;0
-4,1;6,048708912;0,374312103;0
-4,3;5,0706527;0,507722731;0
-4,9;4,586377668;0,741763086;0
-4,5;5,366601222;1,158004243;0,03
-3,4;6,018638664;0,391846064;0,08
-2,1;5,04058256;0,259960136;0,15
-1,2;4,48350872;0,539741289;0,22
-0,2;4,834844448;0,276731753;0,18
0;6,53773691;0,414716469;0,11
-0,2;6,670676107;0,576333911;0,06
-1,5;4,864914696;1,085581331;0,02
-2;4,320499276;0,269870633;0
-2,2;4,894984825;0,609114813;0
-3,1;4,689246724;0,497049879;0
-3;4,629106336;1,051275741;0
-2,8;4,247700467;0,417765857;0
-3,1;4,423368332;0,568710435;0
-3,7;3,806154211;0,39946954;0
-3,8;4,629106444;0,216506393;0
-4,1;4,011892215;0,222605158;0
-4,6;4,731975392;0,218031081;0
-4,3;4,7319755;0,215744038;0
-5,3;4,526237388;0,225654557;0
-5,6;4,629106336;0,282830529;0
-5,3;6,048708912;0,374312103;0
-5,4;5,0706527;0,507722731;0
-6,4;4,586377668;0,741763086;0
-6;5,366601222;1,158004243;0,01
-4,4;6,018638664;0,391846064;0,02
-3,5;5,04058256;0,259960136;0,06
-3,1;4,48350872;0,539741289;0,14
-2,7;4,834844448;0,276731753;0,16
-2,3;6,53773691;0,414716469;0,09
-2,4;6,670676107;0,576333911;0,03
-3;4,864914696;1,085581331;0,01
-3,5;4,320499276;0,269870633;0
-2,9;4,894984825;0,609114813;0
-3,2;4,689246724;0,497049879;0
-2,8;4,629106336;1,051275741;0
-3,1;4,247700467;0,417765857;0
-2,8;4,423368332;0,568710435;0
-3,1;3,806154211;0,39946954;0
-2,8;4,904895294;0,708490305;0
-3,4;4,142225981;0,466569166;0
-3,5;4,385348548;0,471155812;0
-3,6;4,19468122;0,309549759;0
-3,8;4,990652145;0,351805448;0
-4;5,267076325;0,642813449;0
-4,3;6,110496849;0,662526264;0
-4,2;5,181319474;0,400697134;0
-4,6;6,754107698;0,454175465;0
-4,7;5,943988786;0,449100879;0,03
-4;4,904895294;0,825693729;0,12
-3,8;4,004013892;0,228356379;0,15
-3,5;4,766683205;0,194395687;0,1
-3,4;4,19468122;0,196347451;0,11
-3,3;5,148017861;0,188930748;0,15
-3,5;5,095562622;0,277443242;0,12
-3;6,048899263;0,475254516;0,04
-2,5;5,891533548;0,299595763;0
-2,3;6,115502488;0,461006639;0
-2,2;5,510198891;0,838965723;0
-1,9;3,050677251;0,905813638;0
-2;3,136434102;0,837209136;0
-2,2;4,55686225;0,947678974;0
-1,9;4,766683205;0,960072675;0
-1,9;4,904895294;0,708490305;0
-2,2;4,142225981;0,466569166;0
-1,3;4,385348548;0,471155812;0
-2,1;4,19468122;0,309549759;0
-2,1;4,990652145;0,351805448;0
-1,8;5,267076325;0,642813449;0
-1,5;6,110496849;0,662526264;0
-1,8;5,181319474;0,400697134;0
-2;6,754107698;0,454175465;0
-2;5,943988786;0,449100879;0,03
-1,8;4,904895294;0,825693729;0,1
-1,4;4,004013892;0,228356379;0,19
-1,2;4,766683205;0,194395687;0,22
-1,2;4,19468122;0,196347451;0,18
-1,1;5,148017861;0,188930748;0,15
-1;5,095562622;0,277443242;0,11
-1,1;6,048899263;0,475254516;0,03
-1,3;5,891533548;0,299595763;0
-1,8;6,115502488;0,461006639;0
-1,7;5,510198891;0,838965723;0
-1,4;3,050677251;0,905813638;0
-1,1;3,136434102;0,837209136;0
-1,6;4,55686225;0,947678974;0
-1,8;4,766683205;0,960072675;0
-1,6;3,278302352;0,382568101;0
-2;3,079617361;0,334994866;0
-2,2;3,476987343;0,282466085;0
-2,7;3,576329839;0,282466085;0
-3,1;2,980274866;0,271563885;0
-2,9;3,576329839;0,284448303;0
-2,7;3,476987343;0,278501649;0
-2,7;3,377644848;0,312199357;0
-2,9;3,874357325;0,60754986;0
-3;10,31718822;0,612505406;0,03
-3,2;4,768439785;0,747296239;0,08
-3,1;8,453878696;0,721527404;0,15
-2,3;5,282134498;0,918758109;0,18
-1,8;5,124629637;1,841480654;0,16
-1,3;4,470412299;0,655123096;0,13
-1,3;4,271727307;1,970324833;0,07
-1,2;4,271727307;0,272554995;0,01
-1;4,073042316;0,224981759;0
-0,4;4,371069803;0,220026214;0
0;4,984107012;0,382568101;0
-0,1;7,186624148;1,580818968;0
0,2;4,727259655;1,042646743;0
0,1;4,371069803;0,495554535;0
-0,1;3,973699821;0,282466085;0
-0,2;4,904895294;0,708490305;0
0,4;4,142225981;0,466569166;0
0,4;4,385348548;0,471155812;0
0,1;4,19468122;0,309549759;0
0,4;4,990652145;0,351805448;0
0,9;5,267076325;0,642813449;0
0,6;6,110496849;0,662526264;0
1;5,181319474;0,400697134;0
1,5;6,754107698;0,454175465;0
1,3;5,943988786;0,449100879;0,01
1,1;4,904895294;0,825693729;0,02
1,2;4,004013892;0,228356379;0,03
2;4,766683205;0,194395687;0,05
2,6;4,19468122;0,196347451;0,04
2,5;5,148017861;0,188930748;0,02
4;5,095562622;0,277443242;0,03
3,5;6,048899263;0,475254516;0,01
4;5,891533548;0,299595763;0
4,3;6,115502488;0,461006639;0
5,2;5,510198891;0,838965723;0
5,8;3,050677251;0,905813638;0
6;3,136434102;0,837209136;0
6,5;4,55686225;0,947678974;0
6,7;4,766683205;0,960072675;0
6,8;1,709463504;0,294162721;0
7,3;1,994374088;0,273886734;0
7,8;2,13682938;0,263051419;0
6,5;2,279284672;0,26326598;0
6,6;2,421739964;0,265518867;0
6,4;8,705531328;0,634026871;0
5,9;2,84910584;0,313687744;0
5,6;2,760455816;0,262515017;0
4,7;2,114666874;0,289335105;0
5,1;2,377414952;0,811683131;0,03
5,2;2,73829331;0,872940211;0,08
5,5;2,355252446;0,388140308;0,11
5,1;4,511042337;0,625229882;0,13
5,6;3,067528906;0,471818981;0,17
5,3;1,950049076;0,259189326;0,17
5,3;2,114666874;0,368615284;0,1
5,4;1,994374088;0,199434171;0,02
5;1,709463504;0,270882885;0
4,9;2,826943334;0,438991194;0
4;2,257122166;0,639283608;0
3,5;2,564195256;0,840863386;0
3,5;1,851918796;0,869292679;0
3,3;4,381269296;1,368146308;0
3;0,142455292;0,20512003;0
2,4;4,904895294;0,708490305;0
2,3;4,142225981;0,466569166;0
1,9;4,385348548;0,471155812;0
2,4;4,19468122;0,309549759;0
2,5;4,990652145;0,351805448;0
2,6;5,267076325;0,642813449;0
2,7;6,110496849;0,662526264;0
2,4;5,181319474;0,400697134;0
2,2;6,754107698;0,454175465;0
2,2;5,943988786;0,449100879;0,01
2,7;4,904895294;0,825693729;0,04
3,3;4,004013892;0,228356379;0,08
3,8;4,766683205;0,194395687;0,13
3,8;4,19468122;0,196347451;0,13
4,3;5,148017861;0,188930748;0,09
4,3;5,095562622;0,277443242;0,04
2,6;6,048899263;0,475254516;0,01
2,2;5,891533548;0,299595763;0
2,6;6,115502488;0,461006639;0
2,7;5,510198891;0,838965723;0
2,8;3,050677251;0,905813638;0
2,7;3,136434102;0,837209136;0
2,4;4,55686225;0,947678974;0
2,5;4,766683205;0,960072675;0
2,3;4,904895294;0,708490305;0
1,9;4,142225981;0,466569166;0
2,3;4,385348548;0,471155812;0
2,3;4,19468122;0,309549759;0
2,6;4,990652145;0,351805448;0
2,5;5,267076325;0,642813449;0
1,7;6,110496849;0,662526264;0
1,9;5,181319474;0,400697134;0
3;6,754107698;0,454175465;0
3,4;5,943988786;0,449100879;0,01
3,5;4,904895294;0,825693729;0,03
3,8;4,004013892;0,228356379;0,05
3,8;4,766683205;0,194395687;0,05
3,5;4,19468122;0,196347451;0,03
3,2;5,148017861;0,188930748;0,04
3,1;5,095562622;0,277443242;0,04
2,4;6,048899263;0,475254516;0,01
2,8;5,891533548;0,299595763;0
2,3;6,115502488;0,461006639;0
2,5;5,510198891;0,838965723;0
2,8;3,050677251;0,905813638;0
2,2;3,136434102;0,837209136;0
2,1;4,55686225;0,947678974;0
1,3;4,766683205;0,960072675;0
1,5;4,904895294;0,708490305;0
1,2;4,142225981;0,466569166;0
0,5;4,385348548;0,471155812;0
0,1;4,19468122;0,309549759;0
-0,4;4,990652145;0,351805448;0
-0,4;5,267076325;0,642813449;0
-0,8;6,110496849;0,662526264;0
-0,4;5,181319474;0,400697134;0
-0,4;6,754107698;0,454175465;0
0,7;5,943988786;0,449100879;0,04
2,3;4,904895294;0,825693729;0,13
3,5;4,004013892;0,228356379;0,22
4,8;4,766683205;0,194395687;0,27
5,7;4,19468122;0,196347451;0,28
5,8;5,148017861;0,188930748;0,23
6;5,095562622;0,277443242;0,16
5;6,048899263;0,475254516;0,06
4,9;5,891533548;0,299595763;0,01
4,5;6,115502488;0,461006639;0
4,3;5,510198891;0,838965723;0
4,2;3,050677251;0,905813638;0
4,3;3,136434102;0,837209136;0
4,2;4,55686225;0,947678974;0
4,5;4,766683205;0,960072675;0
4,2;4,904895294;0,708490305;0
4,5;4,142225981;0,466569166;0
3,9;4,385348548;0,471155812;0
3,2;4,19468122;0,309549759;0
4,6;4,990652145;0,351805448;0
3,5;5,267076325;0,642813449;0
3,6;6,110496849;0,662526264;0
3,4;5,181319474;0,400697134;0
3,6;6,754107698;0,454175465;0
3,4;5,943988786;0,449100879;0,01
3,6;4,904895294;0,825693729;0,04
4,1;4,004013892;0,228356379;0,08
4,2;4,766683205;0,194395687;0,12
4,6;4,19468122;0,196347451;0,14
4,4;5,148017861;0,188930748;0,13
4,4;5,095562622;0,277443242;0,1
4,5;6,048899263;0,475254516;0,04
4,4;5,891533548;0,299595763;0
5,3;6,115502488;0,461006639;0
4,9;5,510198891;0,838965723;0
4,8;3,050677251;0,905813638;0
4,8;3,136434102;0,837209136;0
4,9;4,55686225;0,947678974;0
4,8;4,766683205;0,960072675;0
5,1;2,15938368;0,301564381;0
4,9;2,365039269;0,262652848;0
5;2,15938368;0,304482746;0
